,end_sample,freesound_id,id,key,key_strength,loudness,mfcc_0,mfcc_1,mfcc_10,mfcc_11,mfcc_12,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,path,scale,spec_centroid,start_sample
44,26272,208759,208759_f3,C#,0.6124187707901001,0.0013371938329085652,-693.310791015625,148.85252380371094,7.9235382080078125,10.479541778564453,13.63357925415039,-24.601150512695312,15.655075073242188,-15.358257293701172,-2.3745346069335938,-2.620363235473633,0.5996055603027344,-6.321598052978516,0.3571624755859375,files/208759_3895722-hq.ogg,major,900.8076782226562,19704
45,6568,568581,568581_f0,F#,0.578926146030426,0.01526563669964399,-898.1275024414062,172.4029541015625,12.81817626953125,11.090042114257812,10.34231948852539,77.28422546386719,74.90335083007812,33.8163948059082,31.083789825439453,18.600688934326172,24.92538070678711,16.218822479248047,16.342971801757812,files/568581_10655277-hq.ogg,major,138.28282165527344,0
46,13136,568581,568581_f1,Ab,0.8219073414802551,0.004371354989389844,-1037.11474609375,132.3748779296875,13.493160247802734,12.340919494628906,12.007980346679688,105.0037841796875,73.32234191894531,48.32187271118164,34.005615234375,27.576759338378906,23.971139907836914,20.17520523071289,16.250429153442383,files/568581_10655277-hq.ogg,minor,50.832218170166016,6568
47,19704,568581,568581_f2,C,0.7612046003341675,0.000812433015704881,-1086.6536865234375,72.1158218383789,12.93569564819336,8.25299072265625,4.772224426269531,68.91934204101562,63.85798645019531,57.30032730102539,49.707916259765625,41.587303161621094,33.441810607910156,25.72512435913086,18.804468154907227,files/568581_10655277-hq.ogg,minor,52.713661193847656,13136
48,26272,568581,568581_f3,C,0.6427465677261353,4.233696682880044e-05,-1102.2091064453125,50.50654220581055,7.846546173095703,3.6713333129882812,0.32793426513671875,48.437625885009766,45.12623977661133,40.7652473449707,35.60400390625,29.92743682861328,24.03580665588379,18.222042083740234,12.751810073852539,files/568581_10655277-hq.ogg,minor,135.39361572265625,19704
49,32840,568581,568581_f4,C,0.5502269864082336,2.1085059145481375e-05,-1109.9178466796875,39.85038375854492,9.261638641357422,5.690826416015625,2.6210708618164062,38.49820327758789,36.31520462036133,33.402225494384766,29.893035888671875,25.945152282714844,21.73211097717285,17.43283462524414,13.222223281860352,files/568581_10655277-hq.ogg,minor,156.9072265625,26272
50,39408,568581,568581_f5,C,0.5815948843955994,8.33521736615613e-06,-1117.5382080078125,29.241741180419922,9.14249038696289,6.61279296875,4.3583984375,28.38504409790039,26.997913360595703,25.138263702392578,22.883758544921875,20.326129913330078,17.5674991607666,14.71444320678711,11.872812271118164,files/568581_10655277-hq.ogg,minor,237.62799072265625,32840
51,45976,568581,568581_f6,C,0.6711832880973816,1.3562475742906077e-06,-1133.6934814453125,6.658000946044922,4.653995513916016,4.362174987792969,4.086067199707031,6.579376220703125,6.451404571533203,6.27764892578125,6.064002990722656,5.816806793212891,5.543830871582031,5.253299713134766,4.953826904296875,files/568581_10655277-hq.ogg,minor,456.52874755859375,39408
52,52544,568581,568581_f7,A,-1.0,5.341128540936412e-11,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,files/568581_10655277-hq.ogg,minor,5075.21044921875,45976
53,59112,568581,568581_f8,A,-1.0,0.0,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,files/568581_10655277-hq.ogg,minor,0.0,52544
54,65680,568581,568581_f9,A,-1.0,0.0,-1138.4200439453125,1.1444091796875e-05,-2.6702880859375e-05,-3.0517578125e-05,-3.814697265625e-05,-6.103515625e-05,8.0108642578125e-05,-6.103515625e-05,2.288818359375e-05,-2.6702880859375e-05,-5.340576171875e-05,-4.57763671875e-05,-2.288818359375e-05,files/568581_10655277-hq.ogg,minor,0.0,59112
55,6568,171104,171104_f0,Ab,0.6019383072853088,0.024162659546344493,-903.4075927734375,143.2142333984375,9.239673614501953,-2.1671676635742188,4.344081878662109,133.5579071044922,90.63246154785156,57.09012222290039,24.287464141845703,33.03495407104492,17.382408142089844,19.420879364013672,12.273225784301758,files/171104_2394245-hq.ogg,minor,272.57635498046875,0
56,13136,171104,171104_f1,G,0.678909957408905,0.006663155178204814,-1084.527099609375,75.20551300048828,25.87990951538086,22.1043643951416,18.964187622070312,72.26974487304688,67.68473815917969,61.86293411254883,55.294464111328125,48.47771453857422,41.85606002807617,35.76784896850586,30.419031143188477,files/171104_2394245-hq.ogg,major,58.5361442565918,6568
